"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Feb 20 08:39:14 GMT 2024","Tue Feb 20 08:39:14 GMT 2024","392","tests","create_users_test","TestCreateUser","","","2.7 POST Create user as {0}",""
"passed","Tue Feb 20 08:39:10 GMT 2024","Tue Feb 20 08:39:11 GMT 2024","367","tests","create_users_test","TestCreateUser","","","1.3.2 Check response has key createdAt",""
"skipped","Tue Feb 20 08:39:14 GMT 2024","Tue Feb 20 08:39:15 GMT 2024","96","tests","create_users_test","TestCreateUser","","","2.8 POST Create user get to http",""
"skipped","Tue Feb 20 08:39:11 GMT 2024","Tue Feb 20 08:39:11 GMT 2024","366","tests","create_users_test","TestCreateUser","","","1.3.4 Check response has key job",""
"passed","Tue Feb 20 08:39:12 GMT 2024","Tue Feb 20 08:39:12 GMT 2024","396","tests","create_users_test","TestCreateUser","","","2.1 GET Send request get with body",""
"passed","Tue Feb 20 08:39:10 GMT 2024","Tue Feb 20 08:39:10 GMT 2024","362","tests","create_users_test","TestCreateUser","","","1.3.1 Check response has key id",""
"skipped","Tue Feb 20 08:39:11 GMT 2024","Tue Feb 20 08:39:11 GMT 2024","375","tests","create_users_test","TestCreateUser","","","1.3.3 Check response has key name",""
"skipped","Tue Feb 20 08:39:14 GMT 2024","Tue Feb 20 08:39:14 GMT 2024","365","tests","create_users_test","TestCreateUser","","","2.6 POST Create user with None name",""
"skipped","Tue Feb 20 08:39:12 GMT 2024","Tue Feb 20 08:39:13 GMT 2024","358","tests","create_users_test","TestCreateUser","","","2.2 POST Create user without request body",""
"passed","Tue Feb 20 08:39:09 GMT 2024","Tue Feb 20 08:39:10 GMT 2024","389","tests","create_users_test","TestCreateUser","","","1.2 Check format is json",""
"passed","Tue Feb 20 08:39:09 GMT 2024","Tue Feb 20 08:39:09 GMT 2024","412","tests","create_users_test","TestCreateUser","","","1.1 POST Create user",""
"skipped","Tue Feb 20 08:39:11 GMT 2024","Tue Feb 20 08:39:11 GMT 2024","0","tests","create_users_test","TestCreateUser","","","test_post_create_user_key_value_is_in_response[job]",""
"skipped","Tue Feb 20 08:39:13 GMT 2024","Tue Feb 20 08:39:13 GMT 2024","370","tests","create_users_test","TestCreateUser","","","2.3 POST Create user without job",""
"skipped","Tue Feb 20 08:39:13 GMT 2024","Tue Feb 20 08:39:14 GMT 2024","368","tests","create_users_test","TestCreateUser","","","2.5 POST Create user with None job",""
"skipped","Tue Feb 20 08:39:13 GMT 2024","Tue Feb 20 08:39:13 GMT 2024","364","tests","create_users_test","TestCreateUser","","","2.4 POST Create user without name",""
"skipped","Tue Feb 20 08:39:11 GMT 2024","Tue Feb 20 08:39:11 GMT 2024","0","tests","create_users_test","TestCreateUser","","","test_post_create_user_key_value_is_in_response[name]",""
"passed","Tue Feb 20 08:39:11 GMT 2024","Tue Feb 20 08:39:12 GMT 2024","386","tests","create_users_test","TestCreateUser","","","1.5 POST Create user response is not empty",""
